,한글 이름,영문 이름,가격,종류,나라,도시,아로마,음식매칭,전문가 평점,소비자 평점,알코올,당도,산도,바디,타닌,메이커스 노트,테이스팅 노트
0,더 롱 리틀 독 스파클링,The Long Little Dog Sparkling,30000.0,스파클링,프랑스,랑그독 루씨용,"복숭아, 살구, 꽃, 흰꽃, 레몬","리코타, 파스타, 샐러드",-,3.5,,1,5,2,1,"밝고 맑은 레몬 컬러에 레몬, 살구, 복숭아, 흰꽃의 아로마가 느껴진다. 입 안에서는 싱그러운 꽃과 상큼한 과일 아로마가 기분 좋은 산미와 기포로 피어나는 와인이다.",
1,루베롱 블랑,LUBERON BLANC,25000.0,,프랑스,론,"헤이즐넛, 꽃, 아카시아, 레몬",,-,4,,1,3,3,1,"화사한 노란색을 띠며 레몬, 아카시아 꽃, 헤이즐넛 향이 어우러진다. 입 안에서는 부드럽고 섬세한 맛과 생기 있는 피니시가 인상적인 와인이다.",
2,"마리 스튜아트, 뀌베 드 라 헨느 브뤼","Marie Stuart, Cuvee de la Reine Brut",145000.0,스파클링,프랑스,샹파뉴,꽃,"아페리티프, 파스타",-,4,12 %,1,4,3,1,"반짝이는 연한 금빛의 정교한 거품을 지녔으며, 흰 꽃 패션 프루츠, 달콤한 흰 과일과 은은한 미네럴을 느낄 수 있다. 우아하고 균형감이 뛰어난 샴페인이다.

발레 드 라 마른(Vallee de la Marne)과 세잔(Sezanne)에서 생산한 최상급 피노 뮈니에, 피노 누아, 샤르도네 품종으로 만든 샴페인으로, 마리 스튜아트의 오리지널 블렌딩 비율로 생산한다. '뀌베 드 라 헨느(Cuvee de La Reine)' - 여왕의 뀌베라는 별칭을 갖고 있으며, 도사주는 8g/L 이다.",
3,"마스카 델 타코, 로시 피노 네로 로사토","Masca del Tacco, “ Ro’Si ” Pinot Nero Rosato",38000.0,,이탈리아,뿔리아,"딸기, 미네랄",,-,4,12~13 %,1,3,2,1,밟은 옅은 분홍색에 야생 딸기 젤리 수박과 같은 달콤한 향이 풍부하고 그 뒤로 향신료 광물 미네랄 향이 희미하게 돈다. 입 안에서는 부드럽고 쥬시하게 감싸고 신선하지만 우아한 과실향이 길게 여운으로 남는 와인이다.,
4,"비에티, 바르베라 다스티 '트레 비그네'","Vietti, Barbera d'Asti 'Tre Vigne'",50000.0,,이탈리아,아스티,"체리, 오크",,-,4,,1,3,3,4,"바르베라 다스티의 포도는 라 크레나 포도밭으로 유명한 아스티 언덕주변인 아그리아노 테르메 지역에서 생산된다.

루비색을 띠고 있으며, 익은 붉은 체리향과 계피와 같은 스위트 스파이스 향이 풍부하게 느껴진다. 잔잔한 산도와 함께 느껴지는 타닌은 조화롭게 밸런스를 유지하며, 입안에서 오크 풍미와 체리풍미가 긴 여운으로 느껴진다. 18개월간 슬로베니안 오크통에서 숙성되었다.",
5,샹파뉴 끌로드 바롱 사파이어 브뤼,Champagne Claude Baron Saphir Brut,57000.0,스파클링,프랑스,샹빠뉴,미네랄,치즈,-,4,12~13 %,1,4,2,1,우아하면서 신선한 과일의 향이 풍부하게 느껴진다. 입 안에서는 산도가 있으면서 밝은 캐릭터의 흰색 과일의 캐릭터가 주로 느껴지고 날카로운 미네랄리티가 느껴지고 마시고 난 뒤에도 입안에 생생한 여운이 남는 와인이다.,
6,"세인트 프란시스, 피노 누아","St. Francis, Pinot Noir",76000.0,,미국,소노마 카운티,"석류, 체리, 딸기, 오렌지, 오크",,-,3.5,14~15 %,1,4,3,3,,"
김호영
2021.02.05
2021 빈티지
3.5
세인트 넘 조아요~~~~

굿뜨베리..."
7,"이기갈, 꼬뜨 뒤 론 블랑","E.Guigal, Cotes du Rhone Blanc",29800.0,,프랑스,꼬뜨 뒤 론,"복숭아, 살구, 꽃, 아카시아","닭고기, 햄",-,4,13.5 %,1,3,3,1,"밝은 황금색을 띠고 있으며 비오니에 포도품종 특유의 살구, 복숭아 등의 신선한 과일 향과 향긋한 아카시아 꽃 향이 풍부한 아로마를 만든다. 입 안에서는 프루티한 맛과 바디감이 느껴지며 우아한 여운을 남기는 와인이다.",
8,"이모스, 샤르도네",Emos Chardonnay,223000.0,,미국,러시안 리버 밸리,"복숭아, 살구, 꽃, 레몬, 라임, 타르","광어, 연어",-,4.5,14~15 %,1,3,3,1,"메이어 레몬, 라임의 상큼한 향이 은근하고도 세련되게 어우러져 있으며 미네랄의 신선함도 풍부하게 느껴진다. 신선한 살구, 복숭아 타르트의 풍미가 부드러운 꽃향과 어울려 화려한 풍미를 자아내는 와인이다.

1976년, 유명한 파리의 심판을 계기로 캘리포니아산 샤도네이의 위상이 달라졌습니다. 이모스 샤도네이는 캘리포니아에서 특급 포도원에서 매년 극소량만 제작됩니다. 겨울철 해물 요리에 샤도네이가 빠진다면 미각이 누릴 수 있는 최고의 즐거움을 포기하는 것입니다. 코스와 페어링해 천천히 음미하다 보면캘리포니아산 샤도네이만의 관능미를 경험할 수 있습니다.","
h1228
2021.07.01
2018 빈티지
5.0
loveu
2021.07.01
2018 빈티지
5.0
샤도네이를 좋아하게 해준 와인"
9,"프론테라, 프리미엄 스파클링 스위트 로제","Frontera, Premium Sparkling Sweet Rose",14900.0,스파클링,칠레,,"디저트, 식전주, 해산물, 샐러드",,-,3.5,12~13 %,1,5,2,1,옅은 연어색을 띠고 부드럽고 섬세한 기포와 함께 신선한 붉은 과실향이 잔을 가득 채우는 칠레의 달콤한 로제 와인이다.,
